Year,Month,mean,variance,median,std_dev,skewness,kurtosis,q25,q75,IQR
1986,1,3.973822734386114,19.12873732404789,3.5,4.373641197451831,1.459676368562868,4.98268108456487,1.5,5,3.5
1986,2,3.4448051948051948,16.165573874177774,3.5,4.020643465190338,1.4092839619456359,5.433623729334068,0,5,5
1986,3,3.125730994152047,18.294004992989294,3.5,4.277149166558175,1.316055636952595,4.87212976714914,0,5,5
1986,4,3.3737373737373737,20.24920926436078,1.5,4.499912139626815,1.3919890435807156,4.664045088372231,0,5,5
1986,5,3.405733722060252,16.939387736213465,3.5,4.115748745515628,1.4086386883784137,5.195677799914603,0,5,5
1986,6,3.8620931537598207,17.32662369265671,3.5,4.162526119156096,1.4731237652771991,5.246254948838255,1.5,5,3.5
1986,7,3.559993878175696,17.68871181601098,3.5,4.205795027817093,1.463647767141427,5.4121575409101546,0,5,5
1986,8,4.087,18.482531,3.5,4.299131423904136,1.3008249825243494,4.557545219897637,1.5,5,3.5
1986,9,3.5838383838383847,14.921152943577187,3.5,3.8627908231714008,1.5281407997883427,5.9751806882241585,1.5,5,3.5
1986,10,3.8768939393939394,14.741355314508725,3.5,3.839447266796189,1.2739956610095748,4.809428824534594,1.5,5,3.5
1986,11,3.6197106197106192,14.535611816119594,3.5,3.8125597459081995,1.3544249382436964,5.179444673498321,1.5,5,3.5
1986,12,3.9952861952861953,17.233692707093386,3.5,4.151348299901296,1.3953523436435418,5.139088981100318,1.5,5,3.5
1987,1,4.051196900511969,17.556240149130964,3.5,4.190016724206595,1.4025128080957103,4.971746586308681,1.5,5,3.5
1987,2,4.2369594594594595,18.434913490686633,3.5,4.2935898139769515,1.2966452717694006,4.434652373885023,1.5,5,3.5
1987,3,3.747474747474748,14.50862156922763,3.5,3.809018452203616,1.538989873555227,5.963614827121092,1.5,5,3.5
1987,4,3.8836000000000004,14.119333706666666,3.5,3.757570186525684,1.264877928351388,5.005711971763608,1.5,5,3.5
1987,5,4.482070707070706,16.42998314904091,3.5,4.053391561278149,1.3753865964109333,4.874616469370793,1.5,5.30625,3.8062500000000004
1987,6,4.480756936453139,16.77002270679227,3.5,4.095121818309227,1.3713216059235278,4.82099231628594,1.5,5.26582278481013,3.7658227848101298
1987,7,4.228438228438228,16.441002276666612,3.5,4.054750581314048,1.3178155119137258,4.57311583139911,1.5,5,3.5
1987,8,4.350378787878787,15.43916257747934,3.5,3.9292699802227053,1.5511772417964806,5.551694585704442,1.5,5,3.5
1987,9,4.026584317937702,15.221147251087674,3.5,3.901428873001233,1.4821654103714879,5.354166455194444,1.5,5,3.5
1987,10,4.310701956271577,15.556336551631595,3.5,3.9441521968138598,1.2966363965073004,4.863239192885644,1.5,5,3.5
1987,11,4.017643097643098,16.819211055561222,3.5,4.101123145622577,1.3450118892772338,5.259197328051298,1.5,5,3.5
1987,12,4.007644007644009,16.945968677336413,3.5,4.1165481507370245,1.2686923064283853,4.561665822120178,1.5,5,3.5
1988,1,4.247405562474055,21.49495733534185,3.5,4.636265451345711,1.316496143705934,4.351803464911274,1.5,5,3.5
1988,2,4.230510230510229,18.909585598914784,3.5,4.348515332721592,1.415916693380977,4.816728135751585,1.5,5,3.5
1988,3,3.9388311688311677,14.597181801315562,3.5,3.820625838958267,1.4887177446255668,5.709263978100209,1.5,5,3.5
1988,4,4.365214646464646,16.2620589974875,3.5,4.032624331311745,1.452276934182935,5.169256676376304,1.5,5,3.5
1988,5,4.578467602857847,18.674857322830213,3.5,4.321441579245311,1.4916455086947884,4.978109573833698,1.5,5,3.5
1988,6,4.967951116099264,20.164926722465992,3.5,4.490537464765882,1.2129882570622317,4.029239697135649,1.5,5.76543209876543,4.26543209876543
1988,7,5.626896551724137,19.536745065398335,5,4.420039034374961,1.0470055042978086,3.551485304250159,3.5,7.5,4
1988,8,5.258792746744555,18.119213560479174,5,4.256666954376296,1.2710264172100973,4.434457558134454,3.5,5.76506024096386,2.2650602409638596
1988,9,5.14349376114082,17.636368402489822,5,4.199567644709372,1.389219123667366,4.70415619174912,3.5,5.61764705882353,2.11764705882353
1988,10,4.954081632653061,18.13819762598917,3.5,4.258896291997396,1.2691911401029081,4.330723468055664,1.5,5.5,4
1988,11,4.903249361080686,18.23768225012633,3.5,4.270559945736195,1.2463995078120522,4.3674874928533445,1.5,5.58433734939759,4.08433734939759
1988,12,5.003565062388592,17.120028533208778,3.5,4.137635621125763,1.219331489228647,4.1391889070537005,1.5,5.58823529411765,4.08823529411765
1989,1,4.871933621933622,18.762162701015516,3.5,4.33153121898198,1.367556507784816,4.5896329125330375,1.5,5.46428571428571,3.96428571428571
1989,2,4.83777534379944,16.058940583454852,3.5,4.007360800259299,1.2638213254739672,4.71253623425176,1.5,5.48795180722892,3.98795180722892
1989,3,5.115857368869417,21.486678241467388,3.5,4.635372502989095,1.1968587003822972,3.8363396234725617,1.5,7.5,6
1989,4,5.212558139534885,17.79000562466198,5,4.217820008566271,1.1795165880426302,4.148521365451081,1.5,5.7093023255814,4.2093023255814
1989,5,5.501604278074867,21.41936445295992,5,4.6281059249934975,1.0573025957519024,3.5269462211041143,1.5,7.5,6
1989,6,5.026470588235293,18.406607266435987,3.5,4.290292212243355,1.2064053545318574,4.1218766992333205,1.5,5.62941176470588,4.12941176470588
1989,7,4.931118413046122,17.527438825485337,5,4.186578415064662,1.2878168422690186,4.549819646992495,1.5,5.53012048192771,4.03012048192771
1989,8,4.482196969696971,15.449104611455466,3.5,3.930534901442228,1.3048189661614022,4.753733169698602,1.5,5,3.5
1989,9,4.126075570520015,13.86208918241175,3.5,3.7231826684184797,1.5573727785617786,5.954098865930957,1.5,5,3.5
1989,10,4.493197278911564,15.180792725253365,3.5,3.896253678247011,1.296482364172149,4.813990400111989,1.5,5.16666666666667,3.6666666666666696
1989,11,4.603067714178826,16.27662423237516,3.5,4.034429852206524,1.3748469877900695,4.911765413164559,1.5,5.28395061728395,3.78395061728395
1989,12,4.598823529411765,16.380614532871974,3.5,4.047297188602781,1.450127163113598,5.394751098836637,1.5,5,3.5
1990,1,5.081259333001494,18.724434993376004,3.5,4.327174019308214,1.1384720627319553,4.057681829682401,1.5,5.79268292682927,4.29268292682927
1990,2,4.710625,16.820019921875,3.5,4.101221759655895,1.175949635526024,4.519319142162905,1.5,5.6125,4.1125
1990,3,4.7867469879518065,17.801446508927278,3.5,4.219176046211781,1.3004857289755334,4.6095372448309675,1.5,5.44578313253012,3.94578313253012
1990,4,4.480059523809523,15.817673876842402,3.5,3.9771439346398316,1.4204942502134177,5.250320746975074,1.5,5,3.5
1990,5,4.590843373493975,14.449550500798374,3.5,3.801256437126858,1.3412980985463587,4.980346595953612,1.5,5.18072289156626,3.68072289156626
1990,6,4.550445632798573,15.581551215203305,3.5,3.947347364395906,1.4525477061308234,5.2966739057380305,1.5,5,3.5
1990,7,4.570843373493975,15.632784235738136,3.5,3.9538315891977667,1.2908819382157248,4.581641557985849,1.5,5,3.5
1990,8,5.786091954022988,22.145717122473243,5,4.705923620552425,0.9884401690032579,3.3353604749390544,3.5,7.5,4
1990,9,5.6804069767441865,21.140107798134125,5,4.597837295743959,0.9516997297401405,3.452996566628446,3.5,7.5,4
1990,10,5.896555920652308,21.321168603148664,5,4.617485095065133,0.8470554245721138,3.2881528526554273,3.5,7.5,4
1990,11,5.584390243902439,22.67214063057704,5,4.761527132189529,0.73887152235687,3.011305239624673,1.5,7.5,6
1990,12,5.233896103896105,23.927284516781924,5,4.891552362674034,0.8145217189599847,3.2688498306975378,1.5,7.5,6
1991,1,4.886363636363637,24.90385866238139,3.5,4.990376605265517,0.8824803759347486,3.3315128882818152,1.5,7.5,6
1991,2,4.487590187590187,23.32270520084372,3.5,4.829358673865891,1.0678770536896418,3.6585719712699656,0,6.19285714285714,6.19285714285714
1991,3,4.20026350461133,21.86206048570716,3.5,4.675688236581558,1.1590508820403085,3.8974158243484487,0,5,5
1991,4,4.231458333333332,22.31517848668981,3.5,4.7238944195112795,1.175845371747211,4.120367775882351,1.5,5,3.5
1991,5,4.195973822734386,22.11469890374088,3.5,4.702626808895309,1.2549394136635035,4.221829699975846,1.5,5,3.5
1991,6,4.580455259026688,20.81042708412915,3.5,4.5618447018864146,1.1530140210927162,3.9053388030991214,1.5,5.59615384615385,4.09615384615385
1991,7,3.8738085076113244,15.22707503197786,3.5,3.9021884926253705,1.2046032536964875,4.569679409980154,1.5,5,3.5
1991,8,3.978324915824915,16.629076522095247,3.5,4.0778764721476355,1.1977958707058958,4.698630287143155,1.5,5,3.5
1991,9,3.673400673400673,14.63940470927003,3.5,3.8261475022886966,1.2944980967501722,5.039223751002519,1.5,5,3.5
1991,10,4.286413195415151,19.751706437761396,3.5,4.444289193758817,1.4090647705812047,4.93761233614193,1.5,5,3.5
1991,11,3.9742883379247025,20.815152000006748,3.5,4.562362545875409,1.2776710224784462,4.392320883419837,0,5,5
1991,12,3.553690753690754,19.310479923253816,3.5,4.394369115499267,1.324180740935238,4.745969114806913,0,5,5
1992,1,3.3696340605207604,18.92461335100664,3.5,4.350242907126755,1.2210784269509163,4.459692500160883,0,5,5
1992,2,3.418650793650794,18.951493291761146,3.5,4.353331286700008,1.437315054513314,5.030441715705992,0,5,5
1992,3,3.368035190615836,16.55354725000454,3.5,4.068605074224401,1.2895682274664302,4.561057374283701,0,5,5
1992,4,3.737014925373134,17.109693829360655,3.5,4.136386566722295,1.4291445682567079,5.433461826883402,0,5,5
1992,5,3.6363636363636367,16.159621493225387,3.5,4.019903169632993,1.175356943986048,4.488092467732438,0,5,5
1992,6,4.195931921959319,19.35498332753489,3.5,4.39942988664837,1.190298788554002,4.2069859893116455,1.5,5,3.5
1992,7,3.6740938799762324,19.046095501165222,3.5,4.364183257055691,1.544763516164089,5.37186887268414,0,5,5
1992,8,3.9984628897672376,21.11437868787356,3.5,4.5950384860057,1.3005568682342101,4.304926097325005,0,5,5
1992,9,3.948285673637786,18.047697929118762,3.5,4.248258222980185,1.3665277852564,4.890673957616045,1.5,5,3.5
1992,10,3.412587412587413,15.525623638211055,3.5,3.9402567985108603,1.5290628156123103,5.8126125037135825,0,5,5
1992,11,4.097643097643098,19.94024135859153,3.5,4.46544973755069,1.4167066670090922,4.596270506368957,1.5,5,3.5
1992,12,3.3547880690737832,14.584275166412414,3.5,3.818936392035407,1.6639873209632552,6.428407695214242,0,5,5
1993,1,3.602400819792125,14.294456480860536,3.5,3.780801036931266,1.3169005414174977,5.141362098597741,0,5,5
1993,2,4.213013698630137,19.78389331957215,3.5,4.447908870421262,1.3302618887182285,4.505343643107664,1.5,5,3.5
1993,3,4.329054054054053,21.476796475529582,3.5,4.634306471903814,1.4662535151518827,4.61933926558351,1.5,5,3.5
1993,4,3.8192009198045413,17.33036526554721,3.5,4.162975530260442,1.4885042706796425,5.376796960290715,1.5,5,3.5
1993,5,4.126216216216215,19.35676121256391,3.5,4.399631940579111,1.3918923974977047,4.712173124593665,1.5,5,3.5
1993,6,4.677551020408164,19.557169512703048,3.5,4.422348868271594,1.2194068829429459,4.127504458034776,1.5,5.78,4.28
1993,7,4.140272108843538,17.72147384885927,3.5,4.209688094011154,1.445643992305056,4.852255166657206,1.5,5,3.5
1993,8,4.232123870281765,18.498126207018284,3.5,4.300944803995779,1.3804238837003668,4.9634211753033135,1.5,5,3.5
1993,9,4.278681742967457,20.94979955317498,3.5,4.5770950998613715,1.4145839068408477,4.514511668154754,1.5,5,3.5
1993,10,4.071351351351352,15.169759240321405,3.5,3.8948375114144884,1.2841668770577819,5.177608002691201,1.5,5,3.5
1993,11,3.673050041934583,14.358846618062515,3.5,3.7893068783172623,1.6344464551759743,6.25812534285848,1.5,5,3.5
1993,12,3.8107871720116617,15.63424536120154,3.5,3.954016358236463,1.6224159825585378,6.173942839338885,1.5,5,3.5
1994,1,3.7077368260737127,16.580274109816685,3.5,4.071888273248258,1.6113297413124839,5.832208292567403,0,5,5
1994,2,3.5507184521269033,14.95450636076895,3.5,3.867105682648064,1.8047649159415287,6.947727514745969,1.5,5,3.5
1994,3,4.101010101010101,16.71201918171615,3.5,4.088033657116359,1.5350954285841936,5.3036336304218406,1.5,5,3.5
1994,4,4.018974358974358,17.362614990138063,3.5,4.166847128241935,1.6306214500105403,5.699417209733982,1.5,5,3.5
1994,5,3.6881490965998007,12.546736999436979,3.5,3.542137349036169,1.482192590729572,6.044478096364536,1.5,5,3.5
1994,6,3.794949494949495,16.482326584750822,3.5,4.0598431724329975,1.4623436087922224,5.063299270684567,1.5,5,3.5
1994,7,3.9508108108108093,16.58421300219138,3.5,4.072371913540238,1.5319343311867923,5.480591821175931,1.5,5,3.5
1994,8,4.52997507542962,19.149962866198422,3.5,4.376067054582051,1.367097010178181,4.391042654148412,1.5,5.49350649350649,3.99350649350649
1994,9,4.464819277108434,15.07904610248222,3.5,3.883174745293111,1.398624793117028,4.894564992494711,1.5,5,3.5
1994,10,3.8051948051948052,13.207670395982085,3.5,3.634235875116265,1.6865800577960668,6.734145669365095,1.5,5,3.5
1994,11,4.410783232211804,17.55792526868979,3.5,4.190217806831739,1.2936603457036506,4.599345502013745,1.5,5.3445945945946,3.8445945945946
1994,12,4.0045257772530505,15.680085945085409,3.5,3.9598088268356353,1.6804605702360416,6.00237385876442,1.5,5,3.5
1995,1,3.826868686868687,14.231826221814103,3.5,3.772509273920225,1.6608234435037263,6.192308198537009,1.5,5,3.5
1995,2,3.967070707070707,15.181917681869196,3.5,3.896398039455055,1.7218400165130308,6.300468165156262,1.5,5,3.5
1995,3,4.208461538461537,16.056166568047335,3.5,4.0070146703059795,1.6655099778138633,6.113437286341879,1.5,5,3.5
1995,4,4.265483785220629,15.110360279676366,3.5,3.887204687133978,1.4235176991126393,5.116312913508551,1.5,5,3.5
1995,5,4.048232323232323,15.835364615217834,3.5,3.9793673636921025,1.5214042974852107,5.1553064471046675,1.5,5,3.5
1995,6,4.039931506849315,17.126072485456937,3.5,4.1383659197148015,1.4754404824929992,5.145465103763149,1.5,5,3.5
1995,7,3.849605263157894,14.918041914819941,3.5,3.8623881103301803,1.6026772386852313,5.745898181853624,1.5,5,3.5
1995,8,3.8203748006379583,15.861809275708483,3.5,3.9826886993221655,1.672018804305126,6.075490753057005,1.5,5,3.5
1995,9,3.8788157894736837,15.714356977146812,3.5,3.9641338243236457,1.765681190878631,6.1131284189701915,1.5,5,3.5
1995,10,3.6605263157894736,11.831405817174515,3.5,3.4396810632927166,1.7924353411049117,6.946981419735447,1.5,5,3.5
1995,11,3.71921921921922,14.714237169192126,3.5,3.835914124324491,1.6116306049660183,6.053350083360602,1.5,5,3.5
1995,12,3.382039573820396,12.112813778198152,3.5,3.4803467899331744,1.7442944234917808,7.040317749196328,1.5,5,3.5
1996,1,3.8876435588764355,16.9425166652374,3.5,4.116128844586549,1.5251151787461366,5.427124357707953,1.5,5,3.5
1996,2,3.5317884729649442,14.351345230290393,3.5,3.7883169389968407,1.6634670079823655,6.485369400452517,1.5,5,3.5
1996,3,4.04921052631579,17.70100976454294,3.5,4.207256798026826,1.6361945488815106,5.525448839790524,1.5,5,3.5
1996,4,4.063908313908314,14.576951678641656,3.5,3.817977432966525,1.8156508399425324,6.557643985524534,1.5,5,3.5
1996,5,4.731351981351982,21.492748898343308,3.5,4.636027275409767,1.3690447785649174,4.232958775252113,1.5,5.55769230769231,4.05769230769231
1996,6,3.6415189873417715,13.450752699887833,3.5,3.667526782436337,1.7661425799953496,7.024699434753593,1.5,5,3.5
1996,7,4.0807424898333995,16.561963164803853,3.5,4.0696391934425655,1.5702387075386737,5.419336421328801,1.5,5,3.5
1996,8,4.000315656565657,14.749938741901335,3.5,3.84056489880087,1.7865932283836266,6.582444139937257,1.5,5,3.5
